"Aberfeldy 18yo","8.58","0.26","7","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach 12yo Original","8.58","0.23","22","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Macallan 12yo Sherry Oak","8.58","0.25","23","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Santis Alpstein (all editions)","8.58","0.12","3","$$$$$","SingleMalt-like","ABC","C","Switzerland","Malt"
"Glengoyne 12yo Cask Strength","8.57","0.41","10","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glengoyne 18yo","8.57","0.35","13","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Quinta Ruban","8.57","0.45","25","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Macallan 30yo Fine Oak","8.57","0.36","6","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Tobermory 15yo","8.57","0.32","15","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tyrconnell 10yo Port Cask Finish","8.57","0.37","11","$$$$","SingleMalt-like","ABC","B","Ireland","Malt"
"Westland Winter 2016","8.57","0.55","5","$$$$","SingleMalt-like","ABC","C","USA","Malt"
"Bowmore 12yo Enigma","8.56","0.35","12","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Amrut Naarangi","8.55","0.64","10","$$$$$","SingleMalt-like","ABC","C","India","Malt"
"Highland Park Magnus (2017)","8.55","0.14","5","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longrow Red 14yo Burgundy Wood","8.55","0.71","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan Whisky Maker's Edition","8.55","0.36","12","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 57)","8.54","0.67","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Arran Malt Sherry Single Cask","8.54","0.55","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Dalmore 18yo","8.54","0.40","13","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne 12yo","8.54","0.37","10","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenmorangie Duthac","8.54","0.26","8","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Mackmyra Midvinter","8.54","0.52","3","$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Talisker Port Ruighe","8.54","0.38","19","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tamdhu Batch Strength (both batches)","8.54","0.72","10","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Teerenpeli Distiller’s Choice AURA","8.54","0.08","3","$$$$$","SingleMalt-like","ABC","C","Finland","Malt"
"Glenmorangie Dornoch","8.53","0.67","8","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Redbreast All Sherry Single Cask 1999","8.53","0.85","5","$$$$$","SingleMalt-like","ABC","A","Ireland","Malt"
"Balblair 1989","8.52","0.47","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kilchoman Madeira Cask Matured","8.52","0.61","9","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Amrut PX Sherry Single Cask 2701","8.51","0.71","3","$$$$","SingleMalt-like","ABC","B","India","Malt"
"Bunnahabhain Moine","8.51","0.61","8","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Dalwhinnie Distillers Edition","8.51","0.32","9","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenglassaugh 26yo","8.51","0.55","5","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park Dark Origins","8.50","0.48","20","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bushmills 16yo Single Malt","8.49","0.49","17","$$$$","SingleMalt-like","ABC","B","Ireland","Malt"
"Glen Moray Classic Sherry Cask finish","8.49","0.29","3","$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Smogen Primör","8.49","0.25","4","$$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Aberfeldy 16yo","8.48","0.19","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Dalmore Cigar Malt","8.48","0.40","6","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne Cask Strength (batch 3)","8.48","0.72","6","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Jura 16yo Diurach's Own","8.48","0.36","15","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfiddich 19yo Age of Discovery (Madeira Cask)","8.47","0.48","13","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glengoyne 15yo","8.47","0.54","9","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Teeling Single Malt","8.46","0.26","8","$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Highland Park 12yo Saint Magnus","8.45","0.37","5","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 15yo Tawny Port Finish","8.44","0.28","13","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenlivet Nadurra Oloroso","8.44","0.64","12","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
